#NWSLID="EGGA2"
#RATING SHIFTED="08/05/1999"
#Egegik River below Becharof Lake near King Salmon AK,
#exported from SKED 05/02/2016,
#Stage [ft],Flow [cfs]
3.57,2550.00
3.58,2560.00
3.59,2570.00
3.60,2580.00
3.61,2600.00
3.62,2610.00
3.63,2620.00
3.64,2630.00
3.65,2650.00
3.66,2660.00
3.67,2670.00
3.68,2690.00
3.69,2700.00
3.70,2710.00
3.71,2730.00
3.72,2740.00
3.73,2750.00
3.74,2770.00
3.75,2780.00
3.76,2790.00
3.77,2800.00
3.78,2820.00
3.79,2830.00
3.80,2840.00
3.81,2860.00
3.82,2870.00
3.83,2890.00
3.84,2900.00
3.85,2910.00
3.86,2930.00
3.87,2940.00
3.88,2950.00
3.89,2970.00
3.90,2980.00
3.91,2990.00
3.92,3010.00
3.93,3020.00
3.94,3030.00
3.95,3050.00
3.96,3060.00
3.97,3080.00
3.98,3090.00
3.99,3100.00
4.00,3120.00
4.01,3130.00
4.02,3150.00
4.03,3160.00
4.04,3170.00
4.05,3190.00
4.06,3200.00
4.07,3220.00
4.08,3230.00
4.09,3240.00
4.10,3260.00
4.11,3270.00
4.12,3290.00
4.13,3300.00
4.14,3320.00
4.15,3330.00
4.16,3350.00
4.17,3360.00
4.18,3370.00
4.19,3390.00
4.20,3400.00
4.21,3420.00
4.22,3430.00
4.23,3450.00
4.24,3460.00
4.25,3480.00
4.26,3490.00
4.27,3510.00
4.28,3520.00
4.29,3540.00
4.30,3550.00
4.31,3570.00
4.32,3580.00
4.33,3600.00
4.34,3610.00
4.35,3630.00
4.36,3640.00
4.37,3660.00
4.38,3670.00
4.39,3690.00
4.40,3700.00
4.41,3720.00
4.42,3730.00
4.43,3750.00
4.44,3760.00
4.45,3780.00
4.46,3800.00
4.47,3810.00
4.48,3830.00
4.49,3840.00
4.50,3860.00
4.51,3870.00
4.52,3890.00
4.53,3900.00
4.54,3920.00
4.55,3940.00
4.56,3950.00
4.57,3970.00
4.58,3980.00
4.59,4000.00
4.60,4010.00
4.61,4030.00
4.62,4050.00
4.63,4060.00
4.64,4080.00
4.65,4090.00
4.66,4110.00
4.67,4130.00
4.68,4140.00
4.69,4160.00
4.70,4170.00
4.71,4190.00
4.72,4210.00
4.73,4220.00
4.74,4240.00
4.75,4260.00
4.76,4270.00
4.77,4290.00
4.78,4300.00
4.79,4320.00
4.80,4340.00
4.81,4350.00
4.82,4370.00
4.83,4390.00
4.84,4400.00
4.85,4420.00
4.86,4440.00
4.87,4450.00
4.88,4470.00
4.89,4490.00
4.90,4500.00
4.91,4520.00
4.92,4540.00
4.93,4550.00
4.94,4570.00
4.95,4590.00
4.96,4600.00
4.97,4620.00
4.98,4640.00
4.99,4650.00
5.00,4670.00
5.01,4690.00
5.02,4710.00
5.03,4720.00
5.04,4740.00
5.05,4760.00
5.06,4770.00
5.07,4790.00
5.08,4810.00
5.09,4830.00
5.10,4840.00
5.11,4860.00
5.12,4880.00
5.13,4890.00
5.14,4910.00
5.15,4930.00
5.16,4950.00
5.17,4960.00
5.18,4980.00
5.19,5000.00
5.20,5020.00
5.21,5030.00
5.22,5050.00
5.23,5070.00
5.24,5090.00
5.25,5100.00
5.26,5120.00
5.27,5140.00
5.28,5160.00
5.29,5180.00
5.30,5190.00
5.31,5210.00
5.32,5230.00
5.33,5250.00
5.34,5270.00
5.35,5280.00
5.36,5300.00
5.37,5320.00
5.38,5340.00
5.39,5350.00
5.40,5370.00
5.41,5390.00
5.42,5410.00
5.43,5430.00
5.44,5450.00
5.45,5460.00
5.46,5480.00
5.47,5500.00
5.48,5520.00
5.49,5540.00
5.50,5550.00
5.51,5570.00
5.52,5590.00
5.53,5610.00
5.54,5630.00
5.55,5650.00
5.56,5670.00
5.57,5680.00
5.58,5700.00
5.59,5720.00
5.60,5740.00
5.61,5760.00
5.62,5780.00
5.63,5800.00
5.64,5810.00
5.65,5830.00
5.66,5850.00
5.67,5870.00
5.68,5890.00
5.69,5910.00
5.70,5930.00
5.71,5950.00
5.72,5960.00
5.73,5980.00
5.74,6000.00
5.75,6020.00
5.76,6040.00
5.77,6060.00
5.78,6080.00
5.79,6100.00
5.80,6120.00
5.81,6140.00
5.82,6160.00
5.83,6170.00
5.84,6190.00
5.85,6210.00
5.86,6230.00
5.87,6250.00
5.88,6270.00
5.89,6290.00
5.90,6310.00
5.91,6330.00
5.92,6350.00
5.93,6370.00
5.94,6390.00
5.95,6410.00
5.96,6430.00
5.97,6450.00
5.98,6470.00
5.99,6490.00
6.00,6510.00
6.01,6530.00
6.02,6550.00
6.03,6560.00
6.04,6580.00
6.05,6600.00
6.06,6620.00
6.07,6640.00
6.08,6660.00
6.09,6680.00
6.10,6700.00
6.11,6720.00
6.12,6740.00
6.13,6760.00
6.14,6780.00
6.15,6800.00
6.16,6820.00
6.17,6840.00
6.18,6860.00
6.19,6890.00
6.20,6910.00
6.21,6930.00
6.22,6950.00
6.23,6970.00
6.24,6990.00
6.25,7010.00
6.26,7030.00
6.27,7050.00
6.28,7070.00
6.29,7090.00
6.30,7110.00
6.31,7130.00
6.32,7150.00
6.33,7170.00
6.34,7190.00
6.35,7210.00
6.36,7230.00
6.37,7250.00
6.38,7270.00
6.39,7300.00
6.40,7320.00
6.41,7340.00
6.42,7360.00
6.43,7380.00
6.44,7400.00
6.45,7420.00
6.46,7440.00
6.47,7460.00
6.48,7480.00
6.49,7500.00
6.50,7530.00
6.51,7550.00
6.52,7570.00
6.53,7590.00
6.54,7610.00
6.55,7630.00
6.56,7650.00
6.57,7670.00
6.58,7690.00
6.59,7720.00
6.60,7740.00
6.61,7760.00
6.62,7780.00
6.63,7800.00
6.64,7820.00
6.65,7840.00
6.66,7870.00
6.67,7890.00
6.68,7910.00
6.69,7930.00
6.70,7950.00
6.71,7970.00
6.72,8000.00
6.73,8020.00
6.74,8040.00
6.75,8060.00
6.76,8080.00
6.77,8100.00
6.78,8130.00
6.79,8150.00
6.80,8170.00
6.81,8190.00
6.82,8210.00
6.83,8240.00
6.84,8260.00
6.85,8280.00
6.86,8300.00
6.87,8320.00
6.88,8350.00
6.89,8370.00
6.90,8390.00
6.91,8410.00
6.92,8430.00
6.93,8460.00
6.94,8480.00
6.95,8500.00
6.96,8520.00
6.97,8550.00
6.98,8570.00
6.99,8590.00
7.00,8610.00
7.01,8640.00
7.02,8660.00
7.03,8680.00
7.04,8700.00
7.05,8730.00
7.06,8750.00
7.07,8770.00
7.08,8790.00
7.09,8820.00
7.10,8840.00
7.11,8860.00
7.12,8880.00
7.13,8910.00
7.14,8930.00
7.15,8950.00
7.16,8980.00
7.17,9000.00
7.18,9020.00
7.19,9040.00
7.20,9070.00
7.21,9090.00
7.22,9110.00
7.23,9140.00
7.24,9160.00
7.25,9180.00
7.26,9200.00
7.27,9230.00
7.28,9250.00
7.29,9270.00
7.30,9300.00
7.31,9320.00
7.32,9340.00
7.33,9370.00
7.34,9390.00
7.35,9410.00
7.36,9440.00
7.37,9460.00
7.38,9480.00
7.39,9510.00
7.40,9530.00
7.41,9550.00
7.42,9580.00
7.43,9600.00
7.44,9630.00
7.45,9650.00
7.46,9670.00
7.47,9700.00
7.48,9720.00
7.49,9740.00
7.50,9770.00
7.51,9790.00
7.52,9820.00
7.53,9840.00
7.54,9860.00
7.55,9890.00
7.56,9910.00
7.57,9930.00
7.58,9960.00
7.59,9980.00
7.60,10000.00
7.61,10000.00
7.62,10100.00
7.63,10100.00
7.64,10100.00
7.65,10100.00
7.66,10200.00
7.67,10200.00
7.68,10200.00
7.69,10200.00
7.70,10200.00
7.71,10300.00
7.72,10300.00
7.73,10300.00
7.74,10300.00
7.75,10400.00
7.76,10400.00
7.77,10400.00
7.78,10400.00
7.79,10500.00
7.80,10500.00
7.81,10500.00
7.82,10500.00
7.83,10600.00
7.84,10600.00
7.85,10600.00
7.86,10600.00
7.87,10700.00
7.88,10700.00
7.89,10700.00
7.90,10700.00
7.91,10800.00
7.92,10800.00
7.93,10800.00
7.94,10800.00
7.95,10900.00
7.96,10900.00
7.97,10900.00
7.98,10900.00
7.99,11000.00
8.00,11000.00
