#NWSLID="SCOA2"
#RATING SHIFTED="06/15/2005"
#Scottie River near Northway AK,
#Rating 1.d valid since 06/15/2005,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
6.36,30.20
6.37,30.40
6.38,30.50
6.39,30.70
6.40,30.90
6.41,31.00
6.42,31.20
6.43,31.40
6.44,31.60
6.45,31.70
6.46,31.90
6.47,32.10
6.48,32.30
6.49,32.40
6.50,32.60
6.51,32.80
6.52,33.00
6.53,33.20
6.54,33.30
6.55,33.50
6.56,33.70
6.57,33.90
6.58,34.10
6.59,34.20
6.60,34.40
6.61,34.60
6.62,34.80
6.63,35.00
6.64,35.20
6.65,35.40
6.66,35.50
6.67,35.70
6.68,35.90
6.69,36.10
6.70,36.30
6.71,36.50
6.72,36.70
6.73,36.90
6.74,37.10
6.75,37.20
6.76,37.40
6.77,37.60
6.78,37.80
6.79,38.00
6.80,38.20
6.81,38.40
6.82,38.60
6.83,38.80
6.84,39.00
6.85,39.20
6.86,39.40
6.87,39.60
6.88,39.80
6.89,40.00
6.90,40.20
6.91,40.40
6.92,40.60
6.93,40.80
6.94,41.00
6.95,41.20
6.96,41.40
6.97,41.60
6.98,41.80
6.99,42.10
7.00,42.30
7.01,42.50
7.02,42.70
7.03,42.90
7.04,43.10
7.05,43.30
7.06,43.50
7.07,43.70
7.08,44.00
7.09,44.20
7.10,44.40
7.11,44.60
7.12,44.80
7.13,45.00
7.14,45.20
7.15,45.50
7.16,45.70
7.17,45.90
7.18,46.10
7.19,46.30
7.20,46.60
7.21,46.80
7.22,47.00
7.23,47.20
7.24,47.50
7.25,47.70
7.26,47.90
7.27,48.10
7.28,48.40
7.29,48.60
7.30,48.80
7.31,49.10
7.32,49.30
7.33,49.50
7.34,49.70
7.35,50.00
7.36,50.20
7.37,50.50
7.38,50.70
7.39,50.90
7.40,51.20
7.41,51.40
7.42,51.60
7.43,51.90
7.44,52.10
7.45,52.40
7.46,52.60
7.47,52.90
7.48,53.10
7.49,53.40
7.50,53.60
7.51,53.90
7.52,54.10
7.53,54.40
7.54,54.60
7.55,54.90
7.56,55.10
7.57,55.40
7.58,55.60
7.59,55.90
7.60,56.20
7.61,56.40
7.62,56.70
7.63,56.90
7.64,57.20
7.65,57.50
7.66,57.70
7.67,58.00
7.68,58.30
7.69,58.60
7.70,58.80
7.71,59.10
7.72,59.40
7.73,59.70
7.74,59.90
7.75,60.20
7.76,60.50
7.77,60.80
7.78,61.10
7.79,61.40
7.80,61.60
7.81,61.90
7.82,62.20
7.83,62.50
7.84,62.80
7.85,63.10
7.86,63.40
7.87,63.70
7.88,64.00
7.89,64.30
7.90,64.60
7.91,64.90
7.92,65.20
7.93,65.60
7.94,65.90
7.95,66.20
7.96,66.50
7.97,66.80
7.98,67.20
7.99,67.50
8.00,67.80
8.01,68.10
8.02,68.50
8.03,68.80
8.04,69.10
8.05,69.50
8.06,69.80
8.07,70.20
8.08,70.50
8.09,70.90
8.10,71.20
8.11,71.60
8.12,71.90
8.13,72.30
8.14,72.60
8.15,73.00
8.16,73.30
8.17,73.70
8.18,74.10
8.19,74.40
8.20,74.80
8.21,75.20
8.22,75.50
8.23,75.90
8.24,76.30
8.25,76.60
8.26,77.00
8.27,77.40
8.28,77.80
8.29,78.10
8.30,78.50
8.31,78.90
8.32,79.20
8.33,79.60
8.34,80.00
8.35,80.40
8.36,80.70
8.37,81.10
8.38,81.50
8.39,81.90
8.40,82.20
8.41,82.60
8.42,83.00
8.43,83.40
8.44,83.70
8.45,84.10
8.46,84.50
8.47,84.90
8.48,85.20
8.49,85.60
8.50,86.00
8.51,86.40
8.52,86.80
8.53,87.20
8.54,87.60
8.55,88.00
8.56,88.40
8.57,88.70
8.58,89.20
8.59,89.60
8.60,90.00
8.61,90.40
8.62,90.80
8.63,91.20
8.64,91.60
8.65,92.10
8.66,92.50
8.67,92.90
8.68,93.40
8.69,93.80
8.70,94.30
8.71,94.70
8.72,95.20
8.73,95.60
8.74,96.10
8.75,96.50
8.76,97.00
8.77,97.50
8.78,97.90
8.79,98.40
8.80,98.90
8.81,99.40
8.82,99.80
8.83,100.00
8.84,101.00
8.85,101.00
8.86,102.00
8.87,102.00
8.88,103.00
8.89,103.00
8.90,104.00
8.91,104.00
8.92,105.00
8.93,105.00
8.94,106.00
8.95,107.00
8.96,107.00
8.97,108.00
8.98,108.00
8.99,109.00
9.00,109.00
9.01,110.00
9.02,111.00
9.03,111.00
9.04,112.00
9.05,113.00
9.06,113.00
9.07,114.00
9.08,115.00
9.09,115.00
9.10,116.00
9.11,117.00
9.12,117.00
9.13,118.00
9.14,119.00
9.15,119.00
9.16,120.00
9.17,121.00
9.18,122.00
9.19,122.00
9.20,123.00
9.21,124.00
9.22,125.00
9.23,125.00
9.24,126.00
9.25,127.00
9.26,128.00
9.27,129.00
9.28,129.00
9.29,130.00
9.30,131.00
9.31,132.00
9.32,133.00
9.33,134.00
9.34,135.00
9.35,135.00
9.36,136.00
9.37,137.00
9.38,138.00
9.39,139.00
9.40,140.00
9.41,141.00
9.42,142.00
9.43,143.00
9.44,144.00
9.45,144.00
9.46,145.00
9.47,146.00
9.48,147.00
9.49,148.00
9.50,149.00
9.51,150.00
9.52,151.00
9.53,152.00
9.54,153.00
9.55,154.00
9.56,155.00
9.57,156.00
9.58,157.00
9.59,157.00
9.60,158.00
9.61,159.00
9.62,160.00
9.63,161.00
9.64,162.00
9.65,163.00
9.66,164.00
9.67,164.00
9.68,165.00
9.69,166.00
9.70,167.00
9.71,168.00
9.72,169.00
9.73,170.00
9.74,171.00
9.75,171.00
9.76,172.00
9.77,173.00
9.78,174.00
9.79,175.00
9.80,176.00
9.81,177.00
9.82,178.00
9.83,179.00
9.84,179.00
9.85,180.00
9.86,181.00
9.87,182.00
9.88,183.00
9.89,184.00
9.90,185.00
9.91,186.00
9.92,187.00
9.93,188.00
9.94,189.00
9.95,189.00
9.96,190.00
9.97,191.00
9.98,192.00
9.99,193.00
10.00,194.00
10.01,195.00
10.02,196.00
10.03,197.00
10.04,198.00
10.05,199.00
10.06,199.00
10.07,200.00
10.08,201.00
10.09,202.00
10.10,203.00
10.11,204.00
10.12,205.00
10.13,206.00
10.14,207.00
10.15,208.00
10.16,209.00
10.17,210.00
10.18,210.00
10.19,211.00
10.20,212.00
10.21,213.00
10.22,214.00
10.23,215.00
10.24,216.00
10.25,217.00
10.26,218.00
10.27,219.00
10.28,220.00
10.29,220.00
10.30,221.00
10.31,222.00
10.32,223.00
10.33,224.00
10.34,225.00
10.35,226.00
10.36,227.00
10.37,228.00
10.38,229.00
10.39,230.00
10.40,231.00
10.41,231.00
10.42,232.00
10.43,233.00
10.44,234.00
10.45,235.00
10.46,236.00
10.47,237.00
10.48,238.00
10.49,239.00
10.50,240.00
10.51,241.00
10.52,242.00
10.53,243.00
10.54,243.00
10.55,244.00
10.56,245.00
10.57,246.00
10.58,247.00
10.59,248.00
10.60,249.00
10.61,250.00
10.62,251.00
10.63,252.00
10.64,253.00
10.65,254.00
10.66,255.00
10.67,255.00
10.68,256.00
10.69,257.00
10.70,258.00
10.71,259.00
10.72,260.00
10.73,261.00
10.74,262.00
10.75,263.00
10.76,264.00
10.77,265.00
10.78,266.00
10.79,267.00
10.80,268.00
10.81,268.00
10.82,269.00
10.83,270.00
10.84,271.00
10.85,272.00
10.86,273.00
10.87,274.00
10.88,275.00
10.89,276.00
10.90,277.00
10.91,278.00
10.92,279.00
10.93,280.00
10.94,281.00
10.95,282.00
10.96,282.00
10.97,283.00
10.98,284.00
10.99,285.00
11.00,286.00
11.01,287.00
11.02,288.00
11.03,289.00
11.04,290.00
11.05,291.00
11.06,292.00
11.07,293.00
11.08,294.00
11.09,295.00
11.10,296.00
11.11,297.00
11.12,297.00
11.13,298.00
11.14,299.00
11.15,300.00
11.16,301.00
11.17,302.00
11.18,303.00
11.19,304.00
11.20,305.00
11.21,306.00
11.22,307.00
11.23,308.00
11.24,309.00
11.25,310.00
11.26,311.00
11.27,312.00
11.28,312.00
11.29,313.00
11.30,314.00
11.31,315.00
11.32,316.00
11.33,317.00
11.34,318.00
11.35,319.00
11.36,320.00
11.37,321.00
11.38,322.00
11.39,323.00
11.40,324.00
11.41,325.00
11.42,326.00
11.43,327.00
11.44,328.00
11.45,329.00
11.46,329.00
11.47,330.00
11.48,331.00
11.49,332.00
11.50,333.00
11.51,334.00
11.52,335.00
11.53,336.00
11.54,337.00
11.55,338.00
11.56,339.00
11.57,340.00
11.58,341.00
11.59,342.00
11.60,343.00
11.61,344.00
11.62,345.00
11.63,346.00
11.64,346.00
11.65,347.00
11.66,348.00
11.67,349.00
11.68,350.00
11.69,351.00
11.70,352.00
11.71,353.00
11.72,354.00
11.73,355.00
11.74,356.00
11.75,357.00
11.76,358.00
11.77,359.00
11.78,360.00
11.79,361.00
11.80,362.00
11.81,363.00
11.82,364.00
11.83,365.00
11.84,366.00
11.85,366.00
11.86,367.00
11.87,368.00
11.88,369.00
11.89,370.00
11.90,371.00
11.91,372.00
11.92,373.00
11.93,374.00
11.94,375.00
11.95,376.00
11.96,377.00
11.97,378.00
11.98,379.00
11.99,380.00
12.00,381.00
12.01,382.00
