#NWSLID="NABA2"
#RATING SHIFTED="09/11/2004"
#Nabesna River near Northway AK,
#Rating 1.a valid since 09/11/2004,
#exported from SKED 05/02/2016,
#
#Stage [ft],Flow [cfs]
20.24,3890.00
20.25,3910.00
20.26,3940.00
20.27,3960.00
20.28,3980.00
20.29,4000.00
20.30,4030.00
20.31,4050.00
20.32,4070.00
20.33,4100.00
20.34,4120.00
20.35,4140.00
20.36,4170.00
20.37,4190.00
20.38,4220.00
20.39,4240.00
20.40,4260.00
20.41,4290.00
20.42,4310.00
20.43,4340.00
20.44,4360.00
20.45,4380.00
20.46,4410.00
20.47,4430.00
20.48,4460.00
20.49,4480.00
20.50,4510.00
20.51,4530.00
20.52,4560.00
20.53,4580.00
20.54,4610.00
20.55,4630.00
20.56,4660.00
20.57,4680.00
20.58,4710.00
20.59,4730.00
20.60,4760.00
20.61,4780.00
20.62,4810.00
20.63,4830.00
20.64,4860.00
20.65,4890.00
20.66,4910.00
20.67,4940.00
20.68,4960.00
20.69,4990.00
20.70,5020.00
20.71,5040.00
20.72,5070.00
20.73,5090.00
20.74,5120.00
20.75,5150.00
20.76,5170.00
20.77,5200.00
20.78,5230.00
20.79,5250.00
20.80,5280.00
20.81,5310.00
20.82,5330.00
20.83,5360.00
20.84,5390.00
20.85,5420.00
20.86,5440.00
20.87,5470.00
20.88,5500.00
20.89,5530.00
20.90,5550.00
20.91,5580.00
20.92,5610.00
20.93,5640.00
20.94,5660.00
20.95,5690.00
20.96,5720.00
20.97,5750.00
20.98,5780.00
20.99,5800.00
21.00,5830.00
21.01,5860.00
21.02,5890.00
21.03,5920.00
21.04,5950.00
21.05,5980.00
21.06,6000.00
21.07,6030.00
21.08,6060.00
21.09,6090.00
21.10,6120.00
21.11,6150.00
21.12,6180.00
21.13,6210.00
21.14,6240.00
21.15,6270.00
21.16,6300.00
21.17,6320.00
21.18,6350.00
21.19,6380.00
21.20,6410.00
21.21,6440.00
21.22,6470.00
21.23,6500.00
21.24,6530.00
21.25,6560.00
21.26,6590.00
21.27,6620.00
21.28,6650.00
21.29,6690.00
21.30,6720.00
21.31,6750.00
21.32,6780.00
21.33,6810.00
21.34,6840.00
21.35,6870.00
21.36,6900.00
21.37,6930.00
21.38,6960.00
21.39,6990.00
21.40,7020.00
21.41,7060.00
21.42,7090.00
21.43,7120.00
21.44,7150.00
21.45,7180.00
21.46,7210.00
21.47,7250.00
21.48,7280.00
21.49,7310.00
21.50,7340.00
21.51,7370.00
21.52,7410.00
21.53,7440.00
21.54,7470.00
21.55,7500.00
21.56,7530.00
21.57,7570.00
21.58,7600.00
21.59,7630.00
21.60,7670.00
21.61,7700.00
21.62,7730.00
21.63,7760.00
21.64,7800.00
21.65,7830.00
21.66,7860.00
21.67,7900.00
21.68,7930.00
21.69,7960.00
21.70,8000.00
21.71,8030.00
21.72,8060.00
21.73,8100.00
21.74,8130.00
21.75,8170.00
21.76,8200.00
21.77,8230.00
21.78,8270.00
21.79,8300.00
21.80,8340.00
21.81,8370.00
21.82,8400.00
21.83,8440.00
21.84,8470.00
21.85,8510.00
21.86,8540.00
21.87,8580.00
21.88,8610.00
21.89,8650.00
21.90,8680.00
21.91,8720.00
21.92,8750.00
21.93,8790.00
21.94,8820.00
21.95,8860.00
21.96,8890.00
21.97,8930.00
21.98,8960.00
21.99,9000.00
22.00,9040.00
22.01,9070.00
22.02,9110.00
22.03,9140.00
22.04,9180.00
22.05,9220.00
22.06,9250.00
22.07,9290.00
22.08,9320.00
22.09,9360.00
22.10,9400.00
22.11,9430.00
22.12,9470.00
22.13,9510.00
22.14,9540.00
22.15,9580.00
22.16,9620.00
22.17,9660.00
22.18,9690.00
22.19,9730.00
22.20,9770.00
22.21,9800.00
22.22,9840.00
22.23,9880.00
22.24,9920.00
22.25,9950.00
22.26,9990.00
22.27,10000.00
22.28,10100.00
22.29,10100.00
22.30,10100.00
22.31,10200.00
22.32,10200.00
22.33,10300.00
22.34,10300.00
22.35,10300.00
22.36,10400.00
22.37,10400.00
22.38,10500.00
22.39,10500.00
22.40,10500.00
22.41,10600.00
22.42,10600.00
22.43,10600.00
22.44,10700.00
22.45,10700.00
22.46,10800.00
22.47,10800.00
22.48,10800.00
22.49,10900.00
22.50,10900.00
22.51,11000.00
22.52,11000.00
22.53,11000.00
22.54,11100.00
22.55,11100.00
22.56,11200.00
22.57,11200.00
22.58,11200.00
22.59,11300.00
22.60,11300.00
22.61,11400.00
22.62,11400.00
22.63,11400.00
22.64,11500.00
22.65,11500.00
22.66,11600.00
22.67,11600.00
22.68,11600.00
22.69,11700.00
22.70,11700.00
22.71,11800.00
22.72,11800.00
22.73,11900.00
22.74,11900.00
22.75,11900.00
22.76,12000.00
22.77,12000.00
22.78,12100.00
22.79,12100.00
22.80,12100.00
22.81,12200.00
22.82,12200.00
22.83,12300.00
22.84,12300.00
22.85,12400.00
22.86,12400.00
22.87,12400.00
22.88,12500.00
22.89,12500.00
22.90,12600.00
22.91,12600.00
22.92,12700.00
22.93,12700.00
22.94,12700.00
22.95,12800.00
22.96,12800.00
22.97,12900.00
22.98,12900.00
22.99,13000.00
23.00,13000.00
23.01,13000.00
23.02,13100.00
23.03,13100.00
23.04,13200.00
23.05,13200.00
23.06,13300.00
23.07,13300.00
23.08,13300.00
23.09,13400.00
23.10,13400.00
23.11,13500.00
23.12,13500.00
23.13,13600.00
23.14,13600.00
23.15,13700.00
23.16,13700.00
23.17,13700.00
23.18,13800.00
23.19,13800.00
23.20,13900.00
23.21,13900.00
23.22,14000.00
23.23,14000.00
23.24,14100.00
23.25,14100.00
23.26,14200.00
23.27,14200.00
23.28,14200.00
23.29,14300.00
23.30,14300.00
23.31,14400.00
23.32,14400.00
23.33,14500.00
23.34,14500.00
23.35,14600.00
23.36,14600.00
23.37,14700.00
23.38,14700.00
23.39,14700.00
23.40,14800.00
23.41,14800.00
23.42,14900.00
23.43,14900.00
23.44,15000.00
23.45,15000.00
23.46,15100.00
23.47,15100.00
23.48,15200.00
23.49,15200.00
23.50,15300.00
23.51,15300.00
23.52,15400.00
23.53,15400.00
23.54,15500.00
23.55,15500.00
23.56,15500.00
23.57,15600.00
23.58,15600.00
23.59,15700.00
23.60,15700.00
23.61,15800.00
23.62,15800.00
23.63,15900.00
23.64,15900.00
23.65,16000.00
23.66,16000.00
23.67,16100.00
23.68,16100.00
23.69,16200.00
23.70,16200.00
23.71,16300.00
23.72,16300.00
23.73,16400.00
23.74,16400.00
23.75,16500.00
23.76,16500.00
23.77,16600.00
23.78,16600.00
23.79,16700.00
23.80,16700.00
23.81,16800.00
23.82,16800.00
23.83,16900.00
23.84,16900.00
23.85,17000.00
23.86,17000.00
23.87,17100.00
23.88,17100.00
23.89,17200.00
23.90,17200.00
23.91,17300.00
23.92,17300.00
23.93,17400.00
23.94,17400.00
23.95,17500.00
23.96,17500.00
23.97,17600.00
23.98,17600.00
23.99,17700.00
24.00,17700.00
24.01,17800.00
24.02,17800.00
24.03,17900.00
24.04,17900.00
24.05,18000.00
24.06,18000.00
24.07,18100.00
24.08,18100.00
24.09,18200.00
24.10,18200.00
24.11,18300.00
24.12,18300.00
24.13,18400.00
24.14,18500.00
24.15,18500.00
24.16,18600.00
24.17,18600.00
24.18,18700.00
24.19,18700.00
24.20,18800.00
24.21,18800.00
24.22,18900.00
24.23,18900.00
24.24,19000.00
24.25,19000.00
24.26,19100.00
24.27,19100.00
24.28,19200.00
24.29,19200.00
24.30,19300.00
24.31,19400.00
24.32,19400.00
24.33,19500.00
24.34,19500.00
24.35,19600.00
24.36,19600.00
24.37,19700.00
24.38,19700.00
24.39,19800.00
24.40,19800.00
24.41,19900.00
24.42,20000.00
24.43,20000.00
24.44,20100.00
24.45,20100.00
24.46,20200.00
24.47,20200.00
24.48,20300.00
24.49,20300.00
24.50,20400.00
24.51,20400.00
24.52,20500.00
24.53,20600.00
24.54,20600.00
24.55,20700.00
24.56,20700.00
24.57,20800.00
24.58,20800.00
24.59,20900.00
24.60,20900.00
24.61,21000.00
24.62,21100.00
24.63,21100.00
24.64,21200.00
24.65,21200.00
24.66,21300.00
24.67,21300.00
24.68,21400.00
24.69,21500.00
24.70,21500.00
24.71,21600.00
24.72,21600.00
24.73,21700.00
24.74,21700.00
24.75,21800.00
24.76,21900.00
24.77,21900.00
24.78,22000.00
24.79,22000.00
24.80,22100.00
24.81,22100.00
24.82,22200.00
24.83,22300.00
24.84,22300.00
24.85,22400.00
24.86,22400.00
24.87,22500.00
24.88,22500.00
24.89,22600.00
24.90,22700.00
24.91,22700.00
24.92,22800.00
24.93,22800.00
24.94,22900.00
24.95,23000.00
24.96,23000.00
24.97,23100.00
24.98,23100.00
24.99,23200.00
25.00,23300.00
25.01,23300.00
25.02,23400.00
25.03,23400.00
25.04,23500.00
25.05,23500.00
25.06,23600.00
25.07,23700.00
25.08,23700.00
25.09,23800.00
25.10,23800.00
25.11,23900.00
25.12,24000.00
25.13,24000.00
25.14,24100.00
25.15,24100.00
25.16,24200.00
25.17,24300.00
25.18,24300.00
25.19,24400.00
25.20,24500.00
25.21,24500.00
25.22,24600.00
25.23,24600.00
25.24,24700.00
25.25,24800.00
25.26,24800.00
25.27,24900.00
25.28,24900.00
25.29,25000.00
25.30,25100.00
25.31,25100.00
25.32,25200.00
25.33,25300.00
25.34,25300.00
25.35,25400.00
25.36,25400.00
25.37,25500.00
25.38,25600.00
25.39,25600.00
25.40,25700.00
25.41,25700.00
25.42,25800.00
25.43,25900.00
25.44,25900.00
25.45,26000.00
25.46,26100.00
25.47,26100.00
25.48,26200.00
25.49,26300.00
25.50,26300.00
25.51,26400.00
25.52,26400.00
25.53,26500.00
25.54,26600.00
25.55,26600.00
25.56,26700.00
25.57,26800.00
25.58,26800.00
25.59,26900.00
25.60,27000.00
25.61,27000.00
25.62,27100.00
25.63,27100.00
25.64,27200.00
25.65,27300.00
25.66,27300.00
25.67,27400.00
25.68,27500.00
25.69,27500.00
25.70,27600.00
25.71,27700.00
25.72,27700.00
25.73,27800.00
25.74,27900.00
25.75,27900.00
25.76,28000.00
25.77,28100.00
25.78,28100.00
25.79,28200.00
25.80,28200.00
25.81,28300.00
25.82,28400.00
25.83,28400.00
25.84,28500.00
25.85,28600.00
25.86,28600.00
25.87,28700.00
25.88,28800.00
25.89,28800.00
25.90,28900.00
25.91,29000.00
25.92,29000.00
25.93,29100.00
25.94,29200.00
25.95,29200.00
25.96,29300.00
25.97,29400.00
25.98,29400.00
25.99,29500.00
26.00,29600.00
26.01,29600.00
26.02,29700.00
26.03,29800.00
26.04,29800.00
26.05,29900.00
26.06,30000.00
26.07,30100.00
26.08,30100.00
26.09,30200.00
26.10,30300.00
26.11,30300.00
26.12,30400.00
26.13,30500.00
26.14,30500.00
26.15,30600.00
26.16,30700.00
26.17,30700.00
26.18,30800.00
26.19,30900.00
26.20,30900.00
26.21,31000.00
26.22,31100.00
26.23,31200.00
26.24,31200.00
26.25,31300.00
26.26,31400.00
26.27,31400.00
26.28,31500.00
26.29,31600.00
26.30,31600.00
26.31,31700.00
26.32,31800.00
26.33,31800.00
26.34,31900.00
26.35,32000.00
26.36,32100.00
26.37,32100.00
26.38,32200.00
26.39,32300.00
26.40,32300.00
26.41,32400.00
26.42,32500.00
26.43,32600.00
26.44,32600.00
26.45,32700.00
26.46,32800.00
26.47,32800.00
26.48,32900.00
26.49,33000.00
26.50,33000.00
26.51,33100.00
26.52,33200.00
26.53,33300.00
26.54,33300.00
26.55,33400.00
26.56,33500.00
26.57,33600.00
26.58,33600.00
26.59,33700.00
26.60,33800.00
26.61,33800.00
26.62,33900.00
26.63,34000.00
26.64,34100.00
26.65,34100.00
26.66,34200.00
26.67,34300.00
26.68,34300.00
26.69,34400.00
26.70,34500.00
26.71,34600.00
26.72,34600.00
26.73,34700.00
26.74,34800.00
26.75,34900.00
26.76,34900.00
26.77,35000.00
26.78,35100.00
26.79,35200.00
26.80,35200.00
26.81,35300.00
26.82,35400.00
26.83,35500.00
26.84,35500.00
26.85,35600.00
26.86,35700.00
26.87,35700.00
26.88,35800.00
26.89,35900.00
26.90,36000.00
26.91,36000.00
26.92,36100.00
26.93,36200.00
26.94,36300.00
26.95,36300.00
26.96,36400.00
26.97,36500.00
26.98,36600.00
26.99,36600.00
27.00,36700.00
27.01,36800.00
27.02,36900.00
27.03,37000.00
27.04,37000.00
27.05,37100.00
27.06,37200.00
27.07,37300.00
27.08,37300.00
27.09,37400.00
27.10,37500.00
27.11,37600.00
27.12,37600.00
27.13,37700.00
27.14,37800.00
27.15,37900.00
27.16,37900.00
27.17,38000.00
27.18,38100.00
27.19,38200.00
27.20,38300.00
27.21,38300.00
27.22,38400.00
27.23,38500.00
27.24,38600.00
27.25,38600.00
27.26,38700.00
27.27,38800.00
27.28,38900.00
27.29,39000.00
27.30,39000.00
27.31,39100.00
27.32,39200.00
27.33,39300.00
27.34,39300.00
27.35,39400.00
27.36,39500.00
27.37,39600.00
27.38,39700.00
27.39,39700.00
27.40,39800.00
27.41,39900.00
27.42,40000.00
27.43,40100.00
27.44,40100.00
27.45,40200.00
27.46,40300.00
27.47,40400.00
27.48,40400.00
27.49,40500.00
27.50,40600.00
27.51,40700.00
27.52,40800.00
27.53,40800.00
27.54,40900.00
27.55,41000.00
27.56,41100.00
27.57,41200.00
27.58,41200.00
27.59,41300.00
27.60,41400.00
27.61,41500.00
27.62,41600.00
27.63,41700.00
27.64,41700.00
27.65,41800.00
27.66,41900.00
27.67,42000.00
27.68,42100.00
27.69,42100.00
27.70,42200.00
27.71,42300.00
27.72,42400.00
27.73,42500.00
27.74,42500.00
27.75,42600.00
27.76,42700.00
27.77,42800.00
27.78,42900.00
27.79,43000.00
27.80,43000.00
27.81,43100.00
27.82,43200.00
27.83,43300.00
27.84,43400.00
27.85,43400.00
27.86,43500.00
27.87,43600.00
27.88,43700.00
27.89,43800.00
27.90,43900.00
27.91,43900.00
27.92,44000.00
27.93,44100.00
27.94,44200.00
27.95,44300.00
27.96,44400.00
27.97,44400.00
27.98,44500.00
27.99,44600.00
28.00,44700.00
28.01,44800.00
28.02,44900.00
28.03,45000.00
28.04,45000.00
28.05,45100.00
28.06,45200.00
28.07,45300.00
28.08,45400.00
28.09,45500.00
28.10,45500.00
28.11,45600.00
28.12,45700.00
28.13,45800.00
28.14,45900.00
28.15,46000.00
28.16,46100.00
28.17,46100.00
28.18,46200.00
28.19,46300.00
28.20,46400.00
28.21,46500.00
28.22,46600.00
28.23,46700.00
28.24,46700.00
28.25,46800.00
28.26,46900.00
28.27,47000.00
28.28,47100.00
28.29,47200.00
28.30,47300.00
28.31,47300.00
28.32,47400.00
28.33,47500.00
28.34,47600.00
28.35,47700.00
28.36,47800.00
28.37,47900.00
28.38,47900.00
28.39,48000.00
28.40,48100.00
28.41,48200.00
28.42,48300.00
28.43,48400.00
28.44,48500.00
28.45,48600.00
28.46,48600.00
28.47,48700.00
28.48,48800.00
28.49,48900.00
28.50,49000.00
28.51,49100.00
28.52,49200.00
28.53,49300.00
28.54,49400.00
28.55,49400.00
28.56,49500.00
28.57,49600.00
28.58,49700.00
28.59,49800.00
28.60,49900.00
28.61,50000.00
28.62,50100.00
28.63,50200.00
28.64,50200.00
28.65,50300.00
28.66,50400.00
28.67,50500.00
28.68,50600.00
28.69,50700.00
28.70,50800.00
28.71,50900.00
28.72,51000.00
28.73,51100.00
28.74,51100.00
28.75,51200.00
28.76,51300.00
28.77,51400.00
28.78,51500.00
28.79,51600.00
28.80,51700.00
28.81,51800.00
28.82,51900.00
28.83,52000.00
28.84,52000.00
28.85,52100.00
28.86,52200.00
28.87,52300.00
28.88,52400.00
28.89,52500.00
28.90,52600.00
28.91,52700.00
28.92,52800.00
28.93,52900.00
28.94,53000.00
28.95,53100.00
28.96,53100.00
28.97,53200.00
28.98,53300.00
28.99,53400.00
29.00,53500.00
