#NWSLID="TOGA2"
#RATING SHIFTED="10/01/1999"
#Togiak River 2 miles above Pungokepuk Creek near Togiak AK,
#Rating 1.a valid since 10/01/1999,
#exported from SKED on 05/02/2016,
#
#Stage [ft],Flow [cfs]
90.31,11000.00
90.32,11100.00
90.33,11100.00
90.34,11100.00
90.35,11200.00
90.36,11200.00
90.37,11200.00
90.38,11300.00
90.39,11300.00
90.40,11400.00
90.41,11400.00
90.42,11400.00
90.43,11500.00
90.44,11500.00
90.45,11500.00
90.46,11600.00
90.47,11600.00
90.48,11700.00
90.49,11700.00
90.50,11700.00
90.51,11800.00
90.52,11800.00
90.53,11800.00
90.54,11900.00
90.55,11900.00
90.56,12000.00
90.57,12000.00
90.58,12000.00
90.59,12100.00
90.60,12100.00
90.61,12100.00
90.62,12200.00
90.63,12200.00
90.64,12300.00
90.65,12300.00
90.66,12300.00
90.67,12400.00
90.68,12400.00
90.69,12500.00
90.70,12500.00
90.71,12500.00
90.72,12600.00
90.73,12600.00
90.74,12600.00
90.75,12700.00
90.76,12700.00
90.77,12800.00
90.78,12800.00
90.79,12800.00
90.80,12900.00
90.81,12900.00
90.82,12900.00
90.83,13000.00
90.84,13000.00
90.85,13100.00
90.86,13100.00
90.87,13100.00
90.88,13200.00
90.89,13200.00
90.90,13300.00
90.91,13300.00
90.92,13300.00
90.93,13400.00
90.94,13400.00
90.95,13400.00
90.96,13500.00
90.97,13500.00
90.98,13600.00
90.99,13600.00
91.00,13600.00
91.01,13700.00
91.02,13700.00
91.03,13800.00
91.04,13800.00
91.05,13800.00
91.06,13900.00
91.07,13900.00
91.08,13900.00
91.09,14000.00
91.10,14000.00
91.11,14100.00
91.12,14100.00
91.13,14100.00
91.14,14200.00
91.15,14200.00
91.16,14300.00
91.17,14300.00
91.18,14300.00
91.19,14400.00
91.20,14400.00
91.21,14500.00
91.22,14500.00
91.23,14500.00
91.24,14600.00
91.25,14600.00
91.26,14600.00
91.27,14700.00
91.28,14700.00
91.29,14800.00
91.30,14800.00
91.31,14800.00
91.32,14900.00
91.33,14900.00
91.34,15000.00
91.35,15000.00
91.36,15000.00
91.37,15100.00
91.38,15100.00
91.39,15200.00
91.40,15200.00
91.41,15200.00
91.42,15300.00
91.43,15300.00
91.44,15300.00
91.45,15400.00
91.46,15400.00
91.47,15500.00
91.48,15500.00
91.49,15500.00
91.50,15600.00
91.51,15600.00
91.52,15700.00
91.53,15700.00
91.54,15700.00
91.55,15800.00
91.56,15800.00
91.57,15900.00
91.58,15900.00
91.59,15900.00
91.60,16000.00
91.61,16000.00
91.62,16100.00
91.63,16100.00
91.64,16100.00
91.65,16200.00
91.66,16200.00
91.67,16300.00
91.68,16300.00
91.69,16300.00
91.70,16400.00
91.71,16400.00
91.72,16400.00
91.73,16500.00
91.74,16500.00
91.75,16600.00
91.76,16600.00
91.77,16600.00
91.78,16700.00
91.79,16700.00
91.80,16800.00
91.81,16800.00
91.82,16800.00
91.83,16900.00
91.84,16900.00
91.85,17000.00
91.86,17000.00
91.87,17000.00
91.88,17100.00
91.89,17100.00
91.90,17200.00
91.91,17200.00
91.92,17200.00
91.93,17300.00
91.94,17300.00
91.95,17400.00
91.96,17400.00
91.97,17400.00
91.98,17500.00
91.99,17500.00
92.00,17600.00
92.01,17600.00
92.02,17600.00
92.03,17700.00
92.04,17700.00
92.05,17800.00
92.06,17800.00
92.07,17800.00
92.08,17900.00
92.09,17900.00
92.10,18000.00
92.11,18000.00
92.12,18000.00
92.13,18100.00
92.14,18100.00
92.15,18200.00
92.16,18200.00
92.17,18200.00
92.18,18300.00
92.19,18300.00
92.20,18400.00
92.21,18400.00
92.22,18400.00
92.23,18500.00
92.24,18500.00
92.25,18600.00
92.26,18600.00
92.27,18600.00
92.28,18700.00
92.29,18700.00
92.30,18800.00
92.31,18800.00
92.32,18800.00
92.33,18900.00
92.34,18900.00
92.35,19000.00
92.36,19000.00
92.37,19000.00
92.38,19100.00
92.39,19100.00
92.40,19200.00
92.41,19200.00
92.42,19200.00
92.43,19300.00
92.44,19300.00
92.45,19400.00
92.46,19400.00
92.47,19400.00
92.48,19500.00
